Start Date,Start Time,Location,Description,Subject,All day event
2021-06-16,09:00:00,Pisarna 606,,Izpit - Geoinformatika III - B II GIG,False
2021-08-23,09:00:00,Pisarna 606,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
2021-08-30,09:00:00,Pisarna 606,,Izpit - Programska orodja v upravljanju nepremičnin (5 KT) - B - TUN - VSŠ,False
2021-08-30,09:00:00,Pisarna 606,,Izpit - Geoinformatika III - B II GIG,False
2021-09-06,09:00:00,Pisarna 606,,Izpit - Osnove obdelave podatkov - B - GIG,False
2021-09-10,09:00:00,Pisarna 606,,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
